reference_product,n_locations,n_distinct_structures,identical_structure,max_coefficient_of_variation,sector,bucket
"3kWp facade installation, single-Si, laminated, integrated, at building",5,3,False,,02-electricity,variable-mix
"3kWp slanted-roof installation, multi-Si, laminated, integrated, on roof",5,3,False,,02-electricity,variable-mix
"Photovoltaic laminate, multi-Si, at plant",4,4,False,,02-electricity,variable-mix
"Natural gas, production UA, at long-distance pipeline",4,1,True,0.0,05-energy,trivial-template
"Photovoltaic laminate, single-Si, at plant",4,4,False,,02-electricity,variable-mix
"Photovoltaic panel, multi-Si, at plant",4,4,False,,02-electricity,variable-mix
"Silicon, solar grade, modified Siemens process, at plant",4,3,False,,08-materials,variable-mix
"Natural gas, production CA, at long-distance pipeline",4,2,False,,05-energy,variable-mix
"CZ single crystalline silicon, photovoltaics, at plant",4,4,False,,02-electricity,variable-mix
"Photovoltaic panel, single-Si, at plant",4,4,False,,02-electricity,variable-mix
"Natural gas, production ES, at long-distance pipeline",4,2,False,,05-energy,variable-mix
"Multi-Si wafer, at plant",4,4,False,,02-electricity,variable-mix
"Natural gas, production GR, at long-distance pipeline",4,1,True,0.0,05-energy,trivial-template
"Natural gas, production HU, at long-distance pipeline",4,1,True,0.0,05-energy,trivial-template
"Reinforcing steel, electric, import CH, at plant",4,1,True,0.0,08-materials,trivial-template
"Single-Si wafer, photovoltaics, at plant",4,4,False,,02-electricity,variable-mix
"Uranium natural, in uranium hexafluoride, at conversion plant",4,4,False,,05-energy,variable-mix
"Silver, from combined gold-silver production, at refinery",4,4,False,,08-materials,variable-mix
"Natural gas, production MX, at long-distance pipeline",4,3,False,,05-energy,variable-mix
"Silicon, electronic grade, at plant",4,2,False,,08-materials,variable-mix
"Silicon, electronic grade, off-grade, at plant",4,2,False,,08-materials,variable-mix
"Silicon, multi-Si, casted, at plant",4,4,False,,08-materials,variable-mix
"Silicon, production mix, photovoltaics, at plant",4,2,False,,08-materials,variable-mix
"U enriched 3.8%, in fuel element for LWR, at nuclear fuel fabrication plant",4,4,False,,05-energy,variable-mix
"Natural gas, production UZ, at long-distance pipeline",4,2,False,,05-energy,variable-mix
"Silicon, solar grade, fluidised bed reactor (FBR), at plant",4,2,False,,08-materials,variable-mix
"Aluminiumtrihydroxide-acrylic glass, at plant",4,1,True,0.0,07-construction,trivial-template
"Electricity, nuclear, at power plant",4,1,True,0.44521311124792606,02-electricity,template-with-variation
"Transport, average train",4,3,False,,04-transport,variable-mix
"Electricity, nuclear, at power plant boiling water reactor",4,4,False,,02-electricity,variable-mix
"Steel, electric, un- and low-alloyed, for reinforcing steel, import to CH, at plant",4,4,False,,08-materials,variable-mix
"Photovoltaic cell, multi-Si, at plant",4,4,False,,02-electricity,variable-mix
