reference_product,n_locations,n_distinct_structures,identical_structure,max_coefficient_of_variation,sector,bucket
"Use, computer, desktop with LCD monitor, active mode",2,2,False,,09-electronics,variable-mix
"570 kWp open ground installation, multi-Si, on open ground",2,2,False,,02-electricity,variable-mix
"Uranium, enriched 3.8% for pressure water reactor",2,2,False,,05-energy,variable-mix
"Uranium, enriched 4.0% for boiling water reactor",2,1,True,0.6486486486486487,05-energy,template-with-variation
"Use, computer, desktop with CRT monitor, active mode",2,2,False,,09-electronics,variable-mix
"Use, computer, desktop with CRT monitor, home use",2,1,True,0.0,09-electronics,trivial-template
"Use, computer, desktop with CRT monitor, off mode",2,2,False,,09-electronics,variable-mix
"Transport, passenger car, plugin gasoline hybrid, Medium, 2018, EURO-6c",2,2,False,,04-transport,variable-mix
"Transport, passenger car, plugin gasoline hybrid, Medium, 2016, EURO-6ab",2,2,False,,04-transport,variable-mix
"Transport, passenger car, plugin gasoline hybrid, Medium, 2013, EURO-5",2,2,False,,04-transport,variable-mix
"Transport, passenger car, plugin gasoline hybrid, Large, 2021, EURO-6d",2,2,False,,04-transport,variable-mix
"Transport, passenger car, plugin gasoline hybrid, Large, 2019, EURO-6d-TEMP",2,2,False,,04-transport,variable-mix
"Transport, passenger car, plugin gasoline hybrid, Large, 2018, EURO-6c",2,2,False,,04-transport,variable-mix
"Transport, passenger car, plugin gasoline hybrid, Large, 2016, EURO-6ab",2,2,False,,04-transport,variable-mix
"Transport, passenger car, plugin gasoline hybrid, Large, 2013, EURO-5",2,2,False,,04-transport,variable-mix
"Transport, passenger car, plugin gasoline hybrid, Large SUV, 2021, EURO-6d",2,2,False,,04-transport,variable-mix
"Transport, passenger car, plugin gasoline hybrid, Large SUV, 2019, EURO-6d-TEMP",2,2,False,,04-transport,variable-mix
"Transport, passenger car, plugin gasoline hybrid, Large SUV, 2018, EURO-6c",2,2,False,,04-transport,variable-mix
"Transport, passenger car, plugin gasoline hybrid, Large SUV, 2016, EURO-6ab",2,2,False,,04-transport,variable-mix
"Transport, passenger car, plugin gasoline hybrid, Large SUV, 2013, EURO-5",2,2,False,,04-transport,variable-mix
"Transport, passenger car, plugin gasoline hybrid, Compact, 2021, EURO-6d",2,2,False,,04-transport,variable-mix
"Transport, passenger car, plugin gasoline hybrid, Compact, 2019, EURO-6d-TEMP",2,2,False,,04-transport,variable-mix
"Transport, passenger car, plugin gasoline hybrid, Compact, 2018, EURO-6c",2,2,False,,04-transport,variable-mix
"Transport, passenger car, plugin gasoline hybrid, Compact, 2016, EURO-6ab",2,2,False,,04-transport,variable-mix
"Use, computer, desktop with CRT monitor, standby/sleep mode",2,2,False,,09-electronics,variable-mix
"Use, computer, desktop with LCD monitor, home use",2,1,True,0.0,09-electronics,trivial-template
"Transport, passenger car, gasoline hybrid, Compact, 2013, EURO-5",2,1,True,0.21714879939499465,04-transport,template-with-variation
"xx Use, printer, laser jet, colour, printing per h",2,2,False,,09-electronics,variable-mix
"xx Electricity, at wind power plant",2,2,False,,02-electricity,variable-mix
"xx Electricity, at wind power plant 800kW",2,1,True,0.17782909930715934,02-electricity,template-with-variation
"xx Use, computer, desktop, mix, home use",2,1,True,0.0,09-electronics,trivial-template
"xx Use, printer, laser jet, b/w, per kg printed paper",2,2,False,,09-electronics,variable-mix
"xx Use, printer, laser jet, b/w, printing per h",2,2,False,,09-electronics,variable-mix
"xx Use, printer, laser jet, colour, per kg printed paper",2,2,False,,09-electronics,variable-mix
"xx Wind power plant 800kW, fixed parts",2,2,False,,02-electricity,variable-mix
"Use, computer, desktop with LCD monitor, off mode",2,2,False,,09-electronics,variable-mix
"xx Wind power plant 800kW, moving parts",2,2,False,,02-electricity,variable-mix
"xxx Crude oil, import mix, at long distance transport",2,2,False,,05-energy,variable-mix
"3kWp slanted-roof installation, CdTe, panel, mounted, on roof",2,2,False,,02-electricity,variable-mix
"3kWp slanted-roof installation, CdTe, laminated, integrated, on roof",2,2,False,,02-electricity,variable-mix
"3kWp slanted-roof installation, CIS, panel, mounted, on roof",2,2,False,,02-electricity,variable-mix
"3kWp slanted-roof installation, CIS, laminated, integrated, on roof",2,2,False,,02-electricity,variable-mix
"xx Corrugated board, recycling fibre, single wall, at plant",2,2,False,,08-materials,variable-mix
"xx Corrugated board, fresh fibre, single wall, at plant",2,2,False,,08-materials,variable-mix
"[thio]carbamate-compounds, at regional storehouse",2,2,False,,03-chemicals,variable-mix
"[sulfonyl]urea-compounds, at regional storehouse",2,2,False,,03-chemicals,variable-mix
"Wood chips, spruce, wet, sustainable forest management, measured as dry mass, at forest road",2,2,False,,08-materials,variable-mix
"Wood chips, production mix, wet, measured as dry mass, at forest road & at sawmill",2,2,False,,08-materials,variable-mix
"Wood chips, pine, wet, sustainable forest management, measured as dry mass, at forest road",2,2,False,,08-materials,variable-mix
"Wood chips, hardwood, wet, measured as dry mass, at sawmill",2,2,False,,08-materials,variable-mix
"Waste paper, sorted, for further treatment",2,2,False,,08-materials,variable-mix
"Waste paper, mixed, from public collection, for further treatment",2,2,False,,08-materials,variable-mix
"Vegetable oil, from waste cooking oil, at plant",2,2,False,,05-energy,variable-mix
"Vegetable oil methyl ester, at esterification plant",2,2,False,,05-energy,variable-mix
"Use, computer, laptop, standby/sleep mode",2,2,False,,09-electronics,variable-mix
"Use, computer, laptop, off mode",2,2,False,,09-electronics,variable-mix
"Use, computer, laptop, active mode",2,2,False,,09-electronics,variable-mix
"Use, computer, desktop, with LCD monitor, office use",2,1,True,0.0,09-electronics,trivial-template
"Use, computer, desktop with LCD monitor, sleep/standby mode",2,2,False,,09-electronics,variable-mix
"Transport, passenger car, plugin gasoline hybrid, Compact, 2013, EURO-5",2,2,False,,04-transport,variable-mix
"Transport, passenger car, plugin diesel hybrid, Medium, 2021, EURO-6d",2,2,False,,04-transport,variable-mix
"Transport, passenger car, plugin diesel hybrid, Medium, 2019, EURO-6d-TEMP",2,2,False,,04-transport,variable-mix
"Transport, passenger car, gasoline, Compact, 2018, EURO-6c",2,1,True,0.667652276759314,04-transport,template-with-variation
"Transport, passenger car, gasoline hybrid, Medium, 2019, EURO-6d-TEMP",2,1,True,0.21772655618075967,04-transport,template-with-variation
"Transport, passenger car, gasoline hybrid, Medium, 2021, EURO-6d",2,1,True,0.21701138514153118,04-transport,template-with-variation
"Transport, passenger car, gasoline, Compact, 2003, EURO-3",2,1,True,0.6675749318801091,04-transport,template-with-variation
"Transport, passenger car, gasoline, Compact, 2008, EURO-4",2,1,True,0.6676470588235295,04-transport,template-with-variation
"Transport, passenger car, gasoline, Compact, 2013, EURO-5",2,1,True,0.6678346180798878,04-transport,template-with-variation
"Transport, passenger car, gasoline, Compact, 2016, EURO-6ab",2,1,True,0.6676470588235294,04-transport,template-with-variation
"Transport, passenger car, gasoline, Compact, 2019, EURO-6d-TEMP",2,1,True,0.6676923076923076,04-transport,template-with-variation
"Transport, passenger car, plugin diesel hybrid, Medium, 2018, EURO-6c",2,2,False,,04-transport,variable-mix
"Transport, passenger car, gasoline, Compact, 2021, EURO-6d",2,1,True,0.6677215189873419,04-transport,template-with-variation
"Transport, passenger car, gasoline, Large SUV, 2003, EURO-3",2,1,True,0.21723606264709253,04-transport,template-with-variation
"Transport, passenger car, gasoline, Large SUV, 2008, EURO-4",2,1,True,0.4342629482071713,04-transport,template-with-variation
"Transport, passenger car, gasoline, Large SUV, 2013, EURO-5",2,1,True,0.2168866777593352,04-transport,template-with-variation
"Transport, passenger car, gasoline, Large SUV, 2016, EURO-6ab",2,1,True,0.21727991183330667,04-transport,template-with-variation
"Transport, passenger car, gasoline, Large SUV, 2018, EURO-6c",2,1,True,0.2166632235369625,04-transport,template-with-variation
"Transport, passenger car, gasoline hybrid, Medium, 2018, EURO-6c",2,1,True,0.21782141117400178,04-transport,template-with-variation
"Transport, passenger car, gasoline hybrid, Medium, 2016, EURO-6ab",2,1,True,0.21799829893118933,04-transport,template-with-variation
"Transport, passenger car, gasoline hybrid, Medium, 2013, EURO-5",2,1,True,0.21749700604957872,04-transport,template-with-variation
"Transport, passenger car, gasoline hybrid, Large, 2021, EURO-6d",2,1,True,0.21766629884212776,04-transport,template-with-variation
"Transport, passenger car, gasoline hybrid, Large, 2019, EURO-6d-TEMP",2,1,True,0.2167173023382328,04-transport,template-with-variation
"Transport, passenger car, gasoline hybrid, Large, 2018, EURO-6c",2,1,True,0.21707485064908846,04-transport,template-with-variation
"Transport, passenger car, gasoline hybrid, Large, 2016, EURO-6ab",2,1,True,0.2169314351953229,04-transport,template-with-variation
"Transport, passenger car, gasoline hybrid, Large, 2013, EURO-5",2,1,True,0.21695632121208397,04-transport,template-with-variation
"Transport, passenger car, gasoline hybrid, Large SUV, 2021, EURO-6d",2,1,True,0.21663959096677915,04-transport,template-with-variation
"Transport, passenger car, gasoline hybrid, Large SUV, 2019, EURO-6d-TEMP",2,1,True,0.21779029409030337,04-transport,template-with-variation
"Transport, passenger car, gasoline hybrid, Large SUV, 2018, EURO-6c",2,1,True,0.2171487993949851,04-transport,template-with-variation
"Transport, passenger car, gasoline hybrid, Large SUV, 2016, EURO-6ab",2,1,True,0.21702010490218399,04-transport,template-with-variation
"Transport, passenger car, gasoline hybrid, Large SUV, 2013, EURO-5",2,1,True,0.2170356601886261,04-transport,template-with-variation
"Transport, passenger car, gasoline hybrid, Compact, 2021, EURO-6d",2,1,True,0.21646799196859798,04-transport,template-with-variation
"Transport, passenger car, gasoline hybrid, Compact, 2019, EURO-6d-TEMP",2,1,True,0.21798287964573007,04-transport,template-with-variation
"Transport, passenger car, gasoline hybrid, Compact, 2018, EURO-6c",2,1,True,0.2170448424919817,04-transport,template-with-variation
"Transport, passenger car, gasoline hybrid, Compact, 2016, EURO-6ab",2,1,True,0.21655920393698558,04-transport,template-with-variation
"Transport, passenger car, gasoline, Large SUV, 2019, EURO-6d-TEMP",2,1,True,0.21706764242179463,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 7.5t gross weight, 2006, EURO-IV, urban delivery",2,1,True,0.6521233275159977,04-transport,template-with-variation
"Transport, passenger car, gasoline, Large, 2003, EURO-3",2,1,True,0.21772320349279053,04-transport,template-with-variation
"Transport, passenger car, plugin diesel hybrid, Compact, 2018, EURO-6c",2,2,False,,04-transport,variable-mix
"Transport, passenger car, plugin diesel hybrid, Medium, 2016, EURO-6ab",2,2,False,,04-transport,variable-mix
"Transport, passenger car, plugin diesel hybrid, Medium, 2013, EURO-5",2,2,False,,04-transport,variable-mix
"Transport, passenger car, plugin diesel hybrid, Large, 2021, EURO-6d",2,2,False,,04-transport,variable-mix
"Transport, passenger car, plugin diesel hybrid, Large, 2019, EURO-6d-TEMP",2,2,False,,04-transport,variable-mix
"Transport, passenger car, plugin diesel hybrid, Large, 2018, EURO-6c",2,2,False,,04-transport,variable-mix
"Transport, passenger car, plugin diesel hybrid, Large, 2016, EURO-6ab",2,2,False,,04-transport,variable-mix
"Transport, passenger car, plugin diesel hybrid, Large, 2013, EURO-5",2,2,False,,04-transport,variable-mix
"Transport, passenger car, plugin diesel hybrid, Large SUV, 2021, EURO-6d",2,2,False,,04-transport,variable-mix
"Transport, passenger car, plugin diesel hybrid, Large SUV, 2019, EURO-6d-TEMP",2,2,False,,04-transport,variable-mix
"Transport, passenger car, plugin diesel hybrid, Large SUV, 2018, EURO-6c",2,2,False,,04-transport,variable-mix
"Transport, passenger car, plugin diesel hybrid, Large SUV, 2016, EURO-6ab",2,2,False,,04-transport,variable-mix
"Transport, passenger car, plugin diesel hybrid, Large SUV, 2013, EURO-5",2,2,False,,04-transport,variable-mix
"Transport, passenger car, plugin diesel hybrid, Compact, 2021, EURO-6d",2,2,False,,04-transport,variable-mix
"Transport, passenger car, plugin diesel hybrid, Compact, 2019, EURO-6d-TEMP",2,2,False,,04-transport,variable-mix
"Transport, passenger car, plugin diesel hybrid, Compact, 2016, EURO-6ab",2,2,False,,04-transport,variable-mix
"Transport, passenger car, gasoline, Large, 2008, EURO-4",2,1,True,0.43237250554323725,04-transport,template-with-variation
"Transport, passenger car, plugin diesel hybrid, Compact, 2013, EURO-5",2,2,False,,04-transport,variable-mix
"Transport, passenger car, gasoline, fleet average",2,2,False,,04-transport,variable-mix
"Transport, passenger car, gasoline, Medium, 2021, EURO-6d",2,1,True,0.2166013184255592,04-transport,template-with-variation
"Transport, passenger car, gasoline, Medium, 2019, EURO-6d-TEMP",2,1,True,0.21718799631330707,04-transport,template-with-variation
"Transport, passenger car, gasoline, Medium, 2018, EURO-6c",2,1,True,0.21775668708654305,04-transport,template-with-variation
"Transport, passenger car, gasoline, Medium, 2016, EURO-6ab",2,1,True,0.21762700379054475,04-transport,template-with-variation
"Transport, passenger car, gasoline, Medium, 2013, EURO-5",2,1,True,0.21710388936288819,04-transport,template-with-variation
"Transport, passenger car, gasoline, Medium, 2008, EURO-4",2,1,True,0.43219264892268694,04-transport,template-with-variation
"Transport, passenger car, gasoline, Medium, 2003, EURO-3",2,1,True,0.2177314076665637,04-transport,template-with-variation
"Transport, passenger car, gasoline, Large, 2021, EURO-6d",2,1,True,0.21696373693915189,04-transport,template-with-variation
"Transport, passenger car, gasoline, Large, 2019, EURO-6d-TEMP",2,1,True,0.2172714524923873,04-transport,template-with-variation
"Transport, passenger car, gasoline, Large, 2018, EURO-6c",2,1,True,0.21680155825915498,04-transport,template-with-variation
"Transport, passenger car, gasoline, Large, 2016, EURO-6ab",2,1,True,0.2169850317639892,04-transport,template-with-variation
"Transport, passenger car, gasoline, Large, 2013, EURO-5",2,1,True,0.21725186032024205,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 7.5t gross weight, 2010, EURO-V, long haul",2,1,True,0.7155797101449275,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 3.5t gross weight, 2010, EURO-V, regional delivery",2,1,True,0.14635234777055084,04-transport,trivial-template
"Transport, freight, lorry, diesel, 7.5t gross weight, 2006, EURO-IV, regional delivery",2,1,True,0.6539440203562341,04-transport,template-with-variation
"Phenoxy-compounds, at regional storehouse",2,2,False,,03-chemicals,variable-mix
"Peat, burned in power plant",2,2,False,,02-electricity,variable-mix
"Pellets, iron, at plant",2,2,False,,08-materials,variable-mix
"Pesticide unspecified, at regional storehouse",2,2,False,,03-chemicals,variable-mix
"Petrol, at refinery",2,2,False,,05-energy,variable-mix
"Petrol, at regional storage",2,2,False,,05-energy,variable-mix
"Petrol, two-stroke blend, at regional storage",2,1,True,0.0,05-energy,trivial-template
Phosphate rock mine,2,2,False,,08-materials,variable-mix
"Platinum, primary, at refinery",2,2,False,,08-materials,variable-mix
"Photovoltaic cell, multi-Si, at regional storage",2,1,True,0.1507446274147785,02-electricity,template-with-variation
"Photovoltaic cell, single-Si, at regional storage",2,1,True,0.7047159847545577,02-electricity,template-with-variation
"Photovoltaic laminate, CdTe, First Solar Series 4, at plant",2,2,False,,02-electricity,variable-mix
"Photovoltaic laminate, CdTe, First Solar Series 6, at plant",2,2,False,,02-electricity,variable-mix
"Phtalamide-compounds, at regional storehouse",2,2,False,,03-chemicals,variable-mix
"Pig iron, at plant",2,2,False,,08-materials,variable-mix
"Paper, wood-containing, LWC, at regional storage",2,1,True,0.48606811145510836,08-materials,template-with-variation
"Palladium, primary, at refinery",2,2,False,,08-materials,variable-mix
"Packaging, corrugated board, mixed fibre, single wall, at plant",2,2,False,,08-materials,variable-mix
"Organophosphorus-compounds, at regional storehouse",2,2,False,,03-chemicals,variable-mix
"Nuclear spent fuel, in conditioning, at plant",2,2,False,,06-waste,variable-mix
Nuclear spent fuel conditioning plant,2,2,False,,06-waste,variable-mix
"Bark chips, softwood, wet, measured as dry mass, at sawmill",2,2,False,,08-materials,variable-mix
Nuclear fuel fabrication plant,2,2,False,,05-energy,variable-mix
"Nitrile-compounds, at regional storehouse",2,2,False,,03-chemicals,variable-mix
"Bark, hardwood, after debarking, at sawmill",2,2,False,,08-materials,variable-mix
"Bark, softwood, after debarking, at sawmill",2,2,False,,08-materials,variable-mix
"Benzimidazole-compounds, at regional storehouse",2,2,False,,03-chemicals,variable-mix
"Benzo[thia]diazole-compounds, at regional storehouse",2,1,True,0.9471476423975463,03-chemicals,template-with-variation
"Bipyridylium-compounds, at regional storehouse",2,2,False,,03-chemicals,variable-mix
"Bitumen, at refinery",2,2,False,,05-energy,variable-mix
"Natural gas, production SE, at long-distance pipeline",2,1,True,0.0,05-energy,trivial-template
"Cleft timber, pine, sustainable forest management, measured as dry mass, at forest road",2,2,False,,08-materials,variable-mix
"Pipeline, natural gas, high pressure distribution network",2,2,False,,05-energy,variable-mix
"Propane, butane, at refinery",2,2,False,,05-energy,variable-mix
"Sawnwood, board, hardwood, raw, air dried (u=20%), at sawmill",2,1,True,0.0,08-materials,trivial-template
"Sawnwood, beam, hardwood, raw, air dried (u=20%), at sawmill",2,1,True,0.0,08-materials,trivial-template
"Sawlog and veneer log, hardwood, sustainable forest management, measured as solid wood under bark, at forest road",2,2,False,,08-materials,variable-mix
"Sawlog and veneer log, pine, sustainable forest management, measured as solid wood under bark, at forest road",2,2,False,,08-materials,variable-mix
"Sawlog and veneer log, spruce, sustainable forest management, measured as solid wood under bark, at forest road",2,2,False,,08-materials,variable-mix
Sawmill,2,2,False,,08-materials,variable-mix
"Sawnwood, beam, hardwood, dried (u=10%), planed, at sawmill",2,2,False,,08-materials,variable-mix
"Sawnwood, beam, hardwood, dried (u=20%), planed, at sawmill",2,2,False,,08-materials,variable-mix
"Sawnwood, beam, hardwood, raw, kiln dried (u=10%), at sawmill",2,2,False,,08-materials,variable-mix
"Provision, stubbed land",2,1,True,0.11439934995509558,08-materials,trivial-template
"Sawnwood, beam, hardwood, raw, kiln dried (u=20%), at sawmill",2,2,False,,08-materials,variable-mix
"Sawnwood, beam, softwood, dried (u=20%), planed, at sawmill",2,2,False,,08-materials,variable-mix
"Sawnwood, beam, softwood, raw, air dried (u=20%), at sawmill",2,1,True,0.0,08-materials,trivial-template
"Sawnwood, beam, softwood, raw, kiln dried (u=10%), at sawmill",2,2,False,,08-materials,variable-mix
"Sawnwood, beam, softwood, raw, kiln dried (u=20%), at sawmill",2,2,False,,08-materials,variable-mix
"Sawnwood, board, hardwood, dried (u=10%), planed, at sawmill",2,2,False,,08-materials,variable-mix
"Saw dust, production mix, wet, measured as dry mass, at sawmill",2,2,False,,08-materials,variable-mix
"Saw dust, loose, softwood, wet, measured as dry mass, at saw",2,2,False,,08-materials,variable-mix
"Saw dust, loose, hardwood, wet, measured as dry mass, at saw",2,2,False,,08-materials,variable-mix
Run-of-river hydropower plant,2,2,False,,02-electricity,variable-mix
"Rhodium, primary, at refinery",2,2,False,,08-materials,variable-mix
Reservoir hydropower plant,2,2,False,,02-electricity,variable-mix
"Reinforcing steel, at plant",2,2,False,,08-materials,variable-mix
"Refinery gas, burned in furnace",2,1,True,0.8782282047268742,05-energy,template-with-variation
"Refinery gas, at refinery",2,2,False,,05-energy,variable-mix
"Rape oil, at oil mill",2,2,False,,01-agriculture,variable-mix
"Rape methyl ester, at esterification plant",2,2,False,,05-energy,variable-mix
"Pyridazine-compounds, at regional storehouse",2,2,False,,03-chemicals,variable-mix
"Pyretroid-compounds, at regional storehouse",2,2,False,,03-chemicals,variable-mix
"Pulpwood, spruce, sustainable forest management, measured as solid wood under bark, at forest road",2,2,False,,08-materials,variable-mix
"Pulpwood, softwood, sustainable forest management, measured as solid wood under bark, at forest road",2,2,False,,08-materials,variable-mix
"Pulpwood, pine, sustainable forest management, measured as solid wood under bark, at forest road",2,2,False,,08-materials,variable-mix
"Pulpwood, hardwood, sustainable forest management, measured as solid wood under bark, at forest road",2,2,False,,08-materials,variable-mix
"Cleft timber, production mix, sustainable forest management, measured as dry mass, at forest road",2,2,False,,08-materials,variable-mix
"Cleft timber, spruce, sustainable forest management, measured as dry mass, at forest road",2,2,False,,08-materials,variable-mix
"Corrugated board, mixed fibre, single wall, at plant",2,2,False,,08-materials,variable-mix
Fuel supply for gasoline vehicles,2,2,False,,04-transport,variable-mix
"Heat, heavy fuel oil, at industrial furnace 1MW",2,1,True,0.0,05-energy,trivial-template
Hard coal power plant,2,2,False,,02-electricity,variable-mix
"Hard coal coke, at plant",2,2,False,,05-energy,variable-mix
"Gypsum fibre board, at plant",2,2,False,,07-construction,variable-mix
"Glyphosate, at regional storehouse",2,2,False,,03-chemicals,variable-mix
"Glued laminated timber, average glue mix, at plant",2,2,False,,08-materials,variable-mix
Fuel supply for gas vehicles,2,1,True,0.44674085850556444,04-transport,template-with-variation
"Corrugated board, recycling fibre, double wall, at plant",2,2,False,,08-materials,variable-mix
Fuel supply for diesel vehicles,2,1,True,0.008403361344537823,04-transport,trivial-template
"Fuel elements BWR, UO2 4.0% & MOX, at nuclear fuel fabrication plant",2,1,True,0.11111111111111113,05-energy,trivial-template
"Float glass, coated, at plant",2,2,False,,08-materials,variable-mix
"Electricity, peat, at power plant",2,1,True,0.06846473029045654,02-electricity,trivial-template
"Electricity, medium voltage, railway, at grid",2,1,True,0.9,02-electricity,template-with-variation
"Electricity, hydropower, at small hydropower plant, in waterworks infrastructure",2,1,True,0.0,02-electricity,trivial-template
"Heat, light fuel oil, at industrial furnace 1MW",2,1,True,0.0,05-energy,trivial-template
"Heavy fuel oil, at refinery",2,2,False,,05-energy,variable-mix
"Heavy fuel oil, at regional storage",2,2,False,,05-energy,variable-mix
"Heavy fuel oil, burned in industrial furnace 1MW, non-modulating",2,2,False,,05-energy,variable-mix
"Naphtha, at regional storage",2,2,False,,05-energy,variable-mix
"Naphtha, at refinery",2,2,False,,05-energy,variable-mix
"Heavy fuel oil, burned in refinery furnace",2,1,True,0.5384615384615385,05-energy,template-with-variation
"Metolachlor, at regional storehouse",2,2,False,,03-chemicals,variable-mix
"MCPA, at regional storehouse",2,2,False,,03-chemicals,variable-mix
"Linuron, at regional storehouse",2,2,False,,03-chemicals,variable-mix
"Hot rolling, electric steel",2,2,False,,08-materials,variable-mix
"Light fuel oil, burned in industrial furnace 1MW, non-modulating",2,2,False,,05-energy,variable-mix
"Light fuel oil, at regional storage",2,2,False,,05-energy,variable-mix
"Light fuel oil, at refinery",2,2,False,,05-energy,variable-mix
"Kerosene, at regional storage",2,2,False,,05-energy,variable-mix
"Kerosene, at refinery",2,2,False,,05-energy,variable-mix
Irrigating,2,2,False,,01-agriculture,variable-mix
"Electricity, hydropower, at small hydropower plant",2,1,True,0.0,02-electricity,trivial-template
"Electricity, hydropower, at run-of-river power plant without reservoir",2,1,True,0.0,02-electricity,trivial-template
"Electricity, hydropower, at run-of-river power plant with reservoir",2,2,False,,02-electricity,variable-mix
"Diesel, at refinery",2,2,False,,05-energy,variable-mix
"Crude oil, production AZ, at long distance transport",2,1,True,0.14285714285714285,05-energy,trivial-template
"Crude oil, production IQ, at long distance transport",2,1,True,0.1893939393939394,05-energy,template-with-variation
"Crude oil, production KZ, at long distance transport",2,1,True,0.1091703056768559,05-energy,trivial-template
"Crude oil, production MX, at long distance transport",2,1,True,0.423728813559322,05-energy,template-with-variation
"Crude oil, production NG, at long distance transport",2,1,True,0.5102040816326531,05-energy,template-with-variation
"Crude oil, production NO, at long distance transport",2,1,True,0.6347826086956523,05-energy,template-with-variation
"Crude oil, production RAF, at long distance transport",2,1,True,0.2631578947368421,05-energy,template-with-variation
"Crude oil, production RLA, at long distance transport",2,1,True,0.4313170698043546,05-energy,template-with-variation
"Crude oil, production RME, at long distance transport",2,1,True,0.3709677419354838,05-energy,template-with-variation
"Crude oil, production RU, at long distance transport",2,2,False,,05-energy,variable-mix
"Crude oil, production SA, at long distance transport",2,1,True,0.15151515151515152,05-energy,template-with-variation
"Crude oil, production US, at long distance transport",2,1,True,0.17006802721088435,05-energy,template-with-variation
"Cyclic N-compounds, at regional storehouse",2,2,False,,03-chemicals,variable-mix
"Dicamba, at regional storehouse",2,2,False,,03-chemicals,variable-mix
"Diesel, at regional storage",2,2,False,,05-energy,variable-mix
"Electricity, hydropower, at run-of-river power plant",2,1,True,0.0,02-electricity,trivial-template
"Diesel, burned in building machine, with particle filter",2,2,False,,07-construction,variable-mix
"Dinitroaniline-compounds, at regional storehouse",2,2,False,,03-chemicals,variable-mix
"Diphenylether-compounds, at regional storehouse",2,2,False,,03-chemicals,variable-mix
"Dithiocarbamate-compounds, at regional storehouse",2,2,False,,03-chemicals,variable-mix
"Diuron, at regional storehouse",2,2,False,,03-chemicals,variable-mix
"Door, inner, aluminium, transparent filling, at plant",2,2,False,,07-construction,variable-mix
"Door, outer, aluminium, opaque filling, at plant",2,2,False,,07-construction,variable-mix
"Door, outer, aluminium, transparent filling, at plant",2,2,False,,07-construction,variable-mix
"Drilling, deep borehole",2,2,False,,03-chemicals,variable-mix
"Electricity mix, railway",2,2,False,,02-electricity,variable-mix
"Natural gas, production CO, at long-distance pipeline",2,1,True,0.0,05-energy,trivial-template
"Natural gas, production CH, at long-distance pipeline",2,1,True,0.0,05-energy,trivial-template
"Electricity, at wind farm",2,2,False,,02-electricity,variable-mix
"Electricity, high voltage, railway, at grid",2,1,True,0.0,02-electricity,trivial-template
"Sawnwood, board, hardwood, dried (u=20%), planed, at sawmill",2,2,False,,08-materials,variable-mix
"Sawnwood, board, hardwood, raw, kiln dried (u=10%), at sawmill",2,2,False,,08-materials,variable-mix
"Transport, freight, lorry, diesel, 7.5t gross weight, 2006, EURO-IV, long haul",2,1,True,0.7155797101449275,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 26t gross weight, fleet average, urban delivery",2,1,True,0.8,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 26t gross weight, 2010, EURO-V, urban delivery",2,1,True,0.6380558428128231,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 26t gross weight, 2020, EURO-VI, long haul",2,1,True,0.19620253164556967,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 26t gross weight, 2020, EURO-VI, regional delivery",2,1,True,0.6373155640171347,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 26t gross weight, 2020, EURO-VI, urban delivery",2,1,True,0.6373155640171347,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 26t gross weight, fleet average, long haul",2,1,True,0.8,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 26t gross weight, fleet average, regional delivery",2,1,True,0.8,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 3.5t gross weight, 2002, EURO-III, long haul",2,1,True,0.551219512195122,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 3.5t gross weight, 2010, EURO-V, urban delivery",2,1,True,0.14498257119725205,04-transport,trivial-template
"Transport, freight, lorry, diesel, 3.5t gross weight, 2002, EURO-III, regional delivery",2,1,True,0.1442578597801007,04-transport,trivial-template
"Transport, freight, lorry, diesel, 3.5t gross weight, 2002, EURO-III, urban delivery",2,1,True,0.14355210045048367,04-transport,trivial-template
"Transport, freight, lorry, diesel, 3.5t gross weight, 2006, EURO-IV, long haul",2,1,True,0.551219512195122,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 3.5t gross weight, 2006, EURO-IV, regional delivery",2,1,True,0.6788635385277658,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 3.5t gross weight, 2006, EURO-IV, urban delivery",2,1,True,0.6773675762439808,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 3.5t gross weight, 2010, EURO-V, long haul",2,1,True,0.551219512195122,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 26t gross weight, 2010, EURO-V, regional delivery",2,1,True,0.6380558428128231,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 26t gross weight, 2010, EURO-V, long haul",2,1,True,0.1972477064220184,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 26t gross weight, 2006, EURO-IV, urban delivery",2,1,True,0.8516769012753896,04-transport,template-with-variation
